Transaction_ID,Transaction_Amount,Transaction_Type,Location,Timestamp
T101,1250000,Transfer,Mumbai,2025-09-01 09:15:00
T102,45000,Withdrawal,Delhi,2025-09-01 10:30:00
T103,8500,Payment,Bangalore,2025-09-01 11:45:00
T104,890000,Transfer,Chennai,2025-09-01 12:00:00
T105,25000,Deposit,Pune,2025-09-01 13:15:00
T106,65000,Withdrawal,Hyderabad,2025-09-01 14:30:00
T107,2500000,Transfer,Mumbai,2025-09-01 15:45:00
T108,12000,Payment,Kolkata,2025-09-01 16:00:00
T109,450000,Transfer,Delhi,2025-09-01 17:15:00
T110,7500,Payment,Bangalore,2025-09-01 18:30:00
